#Lam(nm)  R%(0-100)  T%(0-100)
2964.358  57.283  41.502  
2976.296  56.079  42.821  
2988.235  54.705  44.277  
3000.173  53.151  45.882  
3012.111  51.420  47.651  
3024.050  49.500  49.601  
3035.988  47.382  51.724  
3047.926  45.057  54.039  
3059.865  42.520  56.565  
3071.803  39.763  59.305  
3083.741  36.784  62.234  
3095.680  33.593  65.371  
3107.618  30.204  68.703  
3119.556  26.645  72.183  
3131.495  22.958  75.752  
3143.433  19.223  79.359  
3155.371  15.535  82.868  
3167.310  12.016  86.139  
3179.248  8.824  89.049  
3191.186  6.116  91.307  
3203.125  4.011  92.913  
3215.063  2.610  93.526  
3227.002  1.912  93.429  
3238.940  1.865  92.320  
3250.878  2.344  90.891  
3262.817  3.221  89.826  
3274.755  4.442  88.925  
3286.693  6.004  88.137  
3298.632  7.771  86.751  
3310.570  9.708  85.251  
3322.508  11.733  83.549  
3334.447  13.690  81.662  
3346.385  15.511  79.628  
3358.323  17.208  77.653  
3370.262  18.729  75.589  
3382.200  20.114  73.709  
3394.138  21.358  71.922  
3406.077  22.459  70.227  
3418.015  23.496  68.886  
3429.953  24.500  67.868  
3441.892  25.432  67.011  
3453.830  26.340  66.559  
3465.768  27.217  66.432  
3477.707  28.040  66.515  
3489.645  28.661  66.536  
3501.583  29.165  66.759  
3513.522  29.511  66.922  
3525.460  29.736  67.177  
3537.398  29.828  67.481  
3549.337  29.799  67.833  
3561.275  29.663  68.259  
3573.214  29.413  68.717  
3585.152  29.062  69.256  
3597.090  28.618  69.846  
3609.029  28.090  70.499  
3620.967  27.483  71.224  
3632.905  26.806  71.997  
3644.844  26.070  72.811  
3656.782  25.297  73.648  
3668.720  24.501  74.493  
3680.659  23.688  75.355  
3692.597  22.881  76.201  
3704.535  22.102  77.015  
3716.474  21.373  77.780  
3728.412  20.718  78.472  
3740.350  20.165  79.051  
3752.289  19.740  79.500  
3764.227  19.470  79.796  
3776.165  19.380  79.915  
3788.104  19.489  79.836  
3800.042  19.812  79.540  
3811.980  20.355  79.018  
3823.919  21.116  78.281  
3835.857  22.084  77.337  
3847.795  23.246  76.202  
3859.734  24.577  74.897  
3871.672  26.054  73.445  
